subj,subj_type,subj_span,obj,obj_type,obj_span,relation
The farmer produced these surpluses because the government asked him to through legislation during the war,Premise,"((25271, 25377),)",It recognizes that the government has a responsibility to get the farmer out of the trouble he presently is in because the government got him into it,Premise,"((25023, 25172),)",Support
without running any risk whatever of the federal government telling our teachers what to teach,Premise,"((35164, 35258),)",I believe that's the best way to aid our schools,Claim,"((35115, 35163),)",Support
once you put the responsibility on the federal government for paying a portion of teachers' salaries,Premise,"((37622, 37722),)",your local communities and your states are not going to meet the responsibility as much as they should,Claim,"((37724, 37826),)",Support
I think in the final analysis it depends upon what we do here,Claim,"((7772, 7833),)",I think it can be,Claim,"((7749, 7766),)",Support
we are achieving everything as a nation that we should achieve,Premise,"((58594, 58656),)",I think you should vote for Mr. Nixon,Claim,"((58747, 58784),)",Support
It recognizes that the government has a responsibility to get the farmer out of the trouble he presently is in because the government got him into it,Premise,"((25023, 25172),)",it's our responsibility to indemnify the farmer during that period that we get rid of the farmer uh - the surpluses,Premise,"((25413, 25528),)",Equivalent
"whenever you uh - uh - in - in - uh - appropriates money for one of these projects, you have to pay now and appropriate the money and the eh- while they eventually do pay out",Premise,"((34290, 34464),)",it doesn't mean that you - the government doesn't have to put out the money this year,Claim,"((34466, 34551),)",Support
the way that you get higher salaries for teachers is to support school construction,Premise,"((37356, 37439),)",I favor higher salaries for teachers,Claim,"((37234, 37270),)",Support
I believe in effective governmental action,Claim,"((6433, 6475),)",I think there is also a national responsibility,Claim,"((5623, 5670),)",Support
we are achieving a better life for our citizens and greater strength,Premise,"((58663, 58731),)",I think you should vote for Mr. Nixon,Claim,"((58747, 58784),)",Support
the economy of the rest of the United States sooner or later will collapse,Claim,"((22421, 22495),)",I think the case for the government intervention is a good one,Claim,"((22802, 22864),)",Support
"whenever you uh - uh - in - in - uh - appropriates money for one of these projects, you have to pay now and appropriate the money and the eh- while they eventually do pay out",Premise,"((34290, 34464),)","the power revenues would bring back sufficient money to finance the projects, in the same way as the Tennessee Valley",Premise,"((32787, 32904),)",Attack
I regret that it did not pass,Premise,"((39706, 39735),)",I don't want the federal government paying teachers' salaries directly,Claim,"((39313, 39383),)",Support
I want people in Latin America and Africa and Asia to start to look to America,Claim,"((7191, 7269),)",to see how we're doing things,Claim,"((7271, 7300),)",Equivalent
the relative power and prestige and strength of the United States is increasing in relation to that of the Communists,Premise,"((58433, 58550),)",I think you should vote for Mr. Nixon,Claim,"((58747, 58784),)",Support
they're not able to control their market very well,Premise,"((21944, 21994),)",therefore the farmer is not in a position to bargain very effectively in the market place,Claim,"((22189, 22278),)",Support
As Senator Kennedy points out that as far as his one proposal is concerned - the one for medical care for the aged - that that would be financed out of Social Security,Premise,"((33867, 34034),)","That, however, is raising taxes for those who pay Social Security",Claim,"((34036, 34101),)",Attack
My view is that you can do these programs - and they should be carefully drawn - within a balanced budget if our economy is moving ahead,Premise,"((40177, 40313),)",That is not my view and I think it ought to be stated very clearly on the record,Claim,"((40095, 40175),)",Support
I want people in Latin America and Africa and Asia to start to look to America,Claim,"((7191, 7269),)",to wonder what the resident of the United States is doing,Claim,"((7302, 7359),)",Equivalent
we've b- gaining more security,Premise,"((58557, 58587),)",I think you should vote for Mr. Nixon,Claim,"((58747, 58784),)",Support
if the agricultural economy collapses,Premise,"((22377, 22414),)",the economy of the rest of the United States sooner or later will collapse,Claim,"((22421, 22495),)",Support
it will be necessary to raise taxes.,Claim,"((33830, 33866),)",he has to raise taxes,Claim,"((34675, 34696),)",Equivalent
"That is wholly wrong, wholly in error",Claim,"((39895, 39932),)",I am in favor of unbalancing the budget.,Claim,"((39854, 39894),)",Attack
to see how we're doing things,Claim,"((7271, 7300),)",to wonder what the resident of the United States is doing,Claim,"((7302, 7359),)",Equivalent
I think you would have complete uh - economic chaos,Claim,"((21772, 21823),)",I think you would have a recession in the rest of the country,Claim,"((22736, 22797),)",Equivalent
not to look at Khrushchev,Claim,"((7365, 7390),)",look at the Chinese Communists,Claim,"((7395, 7425),)",Equivalent
there are no effective controls to bring supply and demand into better balance,Claim,"((22920, 22998),)",In my judgment the only policy that will work will be for effective supply and demand to be in balance,Claim,"((23324, 23426),)",Equivalent
"we are in a deadly competition, a competition not only with the men in the Kremlin, but the men in Peking",Premise,"((8306, 8411),)",this nation cannot stand still,Claim,"((8266, 8296),)",Support
I think that this farm policy has failed,Claim,"((23282, 23322),)",In my judgment the only policy that will work will be for effective supply and demand to be in balance,Claim,"((23324, 23426),)",Support
